system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00068] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00171] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.00549] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.00556] Allegro version: 5.0.6
dtor     D               dtor.c:184  _al_register_destructor          [   0.00902] added dtor for object 009CE688, func 00E50640
display  I           wgl_disp.c:761  get_available_pixel_formats_ext  [   0.17134] Got 450 visuals.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17140] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17143] Decoding visual no. 1...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17151] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17155] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17157] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17159] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17162] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17165] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17167] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17170] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17173] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17177] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17180] Decoding visual no. 2...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17201] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17204] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17206] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17209] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17211] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17214] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17216] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17218] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17250] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17253] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17256] Decoding visual no. 3...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17265] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17268] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17270] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17273] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17275] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17278] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17280] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17283] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17291] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17294] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17297] Decoding visual no. 4...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17306] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17309] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17311] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17314] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17316] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17319] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17321] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17324] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17326] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17329] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17331] Decoding visual no. 5...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17339] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17342] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17345] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17347] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17349] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17352] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17354] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17357] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17359] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17362] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17365] Decoding visual no. 6...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17375] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17378] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17380] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17381] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17383] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17385] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17386] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17388] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17390] Single Buffer requirement not met.
